P010129474301	2018.12.24-04:23
P010129473701	2018.12.24-04:41
P010129473901	2018.12.24-04:43
P010129474201	2018.12.24-04:51
P010129474401	2018.12.24-04:57
P010129474001	2019.01.02-16:28
P010129475201	2019.01.02-16:36
P010129475101	2019.01.02-16:41
P010129475301	2019.01.02-16:43
P010129475001	2019.01.02-16:45
P010129475501	2019.01.02-16:55
P010129475401	2019.01.02-17:00
P010129474901	2019.01.02-17:02
P010129476201	2019.01.07-10:51
P010129476301	2019.01.07-10:55
P010129476101	2019.01.07-10:55
P010129476501	2019.01.07-10:58
P010129476401	2019.01.07-11:02
P010129475901	2019.01.07-11:02
P010129476001	2019.01.07-11:03
P010129476601	2019.01.07-11:04
P010129476801	2019.01.07-12:09
P010129476901	2019.01.07-12:19
P010129477001	2019.01.07-12:31
P010129477401	2019.01.07-12:36
P010129477501	2019.01.07-12:43
P010129477601	2019.01.07-12:45
P010129478201	2019.01.07-13:07
P010129478101	2019.01.07-13:07
P010129478301	2019.01.07-13:12
P010129478401	2019.01.07-13:13
P010129478501	2019.01.07-13:16
P010129478701	2019.01.07-13:24
P010129478601	2019.01.07-13:26
P010129479101	2019.01.20-22:01
P010129479201	2019.01.20-22:02
P010129479301	2019.01.20-22:02
P010129479001	2019.01.20-22:07
P010129479401	2019.01.21-11:46
P010129479501	2019.01.21-14:13
P010129479701	2019.01.26-21:54
P010129479601	2019.01.26-21:59
P010129480701	2019.02.16-22:57
P010129480801	2019.02.16-23:34
P010129481001	2019.02.16-23:44
P010129480901	2019.02.16-23:46
P010129481101	2019.02.16-23:46
P010129481201	2019.02.16-23:51
P010129481301	2019.02.16-23:53
P010129481701	2019.02.16-23:59
P010129481601	2019.02.17-00:00
P010129481501	2019.02.17-00:01
P010129481801	2019.02.17-00:18
P010129482201	2019.02.17-00:29
P010129402301	2019.05.05-18:37
P010129402401	2019.05.05-19:14
P010129402501	2019.05.05-19:51
P010129402601	2019.05.05-20:21
P010129402701	2019.05.05-20:55
P010129409101	2019.05.05-21:12
P010129402801	2019.05.05-21:31
P010129409201	2019.05.05-22:03
P010129402901	2019.05.05-22:15
P010129409301	2019.05.05-22:51
P010129403001	2019.05.05-22:59
P010129403101	2019.05.05-23:32
P010129409401	2019.05.05-23:41
P010129403201	2019.05.06-00:03
P010129409501	2019.05.06-00:33
P010129403301	2019.05.06-00:33
P010129403401	2019.05.06-01:09
P010129401501	2019.05.06-01:45
P010129403501	2019.05.06-01:50
P010129401601	2019.05.06-02:21
P010129403601	2019.05.06-02:27
P010129401701	2019.05.06-02:50
P010129403701	2019.05.06-03:03
P010129401801	2019.05.06-03:19
P010129401901	2019.05.06-03:50
P010129402001	2019.05.06-04:22
P010129402101	2019.05.06-05:00
P010129433701	2019.05.06-05:38
P010129433801	2019.05.06-06:08
P010129435801	2019.05.06-06:28
P010129433901	2019.05.06-06:39
P010129435901	2019.05.06-07:07
P010129434001	2019.05.06-07:20
P010129436001	2019.05.06-07:46
P010129434101	2019.05.06-08:04
P010129440001	2019.05.06-08:24
P010129436101	2019.05.06-08:31
P010129438001	2019.05.06-08:31
P010129434201	2019.05.06-08:47
P010129440101	2019.05.06-09:06
P010129436201	2019.05.06-09:18
P010129438101	2019.05.06-09:21
P010129434301	2019.05.06-09:31
P010129436301	2019.05.06-09:31
P010129440201	2019.05.06-09:46
P010129434401	2019.05.06-09:47
P010129438201	2019.05.06-10:03
P010129436401	2019.05.06-10:06
P010129434501	2019.05.06-10:25
P010129440301	2019.05.06-10:29
P010129436501	2019.05.06-10:48
P010129438301	2019.05.06-10:50
P010129432501	2019.05.06-10:51
P010129434601	2019.05.06-11:07
P010129440401	2019.05.06-11:13
P010129432601	2019.05.06-11:20
P010129438401	2019.05.06-11:29
P010129436601	2019.05.06-11:31
P010129434701	2019.05.06-11:41
